ID,St_ID,DOI,Types_of_Lit_Sources,sp.,_ontinent,Place,Hab.,Latitude,Longitude,Instances_Count,vivo_situ,temp,tmin_E,topt_E,tmax_E,tmin_1st_L,topt_1st_L,tmax_1st_L,tmin_2nd_L,topt_2nd_L,tmax_2nd_L,tmin_3rd_L,topt_3rd_L,tmax_3rd_L,tmin_P,topt_P,tmax_P,K,P,Humid.,Food,Preovi_per, Ovi_rate,Postovi_per,E_dev,E_hatch,Dev_1st_inst,Dev_2nd_inst,Dev_3rd_inst,Dev_ P,L_surv,Pr_sex_rat,Repr_rate,Ovip_fem,Fert_fem,Spr_of_rep,Spr_of_rep,Spr_of_rep,Lif_exp_post_min,Lif_exp_post_max,Lif_exp_post_mean,N_gen_min,N_gen_max,N_gen_M,Gen_tim_min,Gen_tim_max,Gen_tim_M,M_sex_rep_rate_min,M_sex_rep_rate_max,M_sex_rep_rate_M,Doubl_tim,Intr_rate_nat_incr,Im_flig_term,Dorm.,Dorm_d,Surv_perc,Vert_distr_min,Vert_distr_max,Vert_distr_M
11,ID_2,https://doi.org/10.14411/eje.2006.043 ,peer_reviewed,Anomalochrysa_hepatica,North_America,Island_of_Hawaii,NA,19.617,-155.55,38,in_situ,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,3.6,3.3,NA,NA,0,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ID_2,https://doi.org/10.14411/eje.2006.043 ,peer_reviewed,Anomalochrysa_hepatica,North_America,Island_of_Hawaii,NA,19.617,-155.55,38,in_situ,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,8,NA,7.4,6.7,7.3,28.9,97.3,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,ID_3,https://doi.org/10.1139/z90-148 ,peer_reviewed,Anomalochrysa_maclachlani,North_America,NA,NA,NA,,378.77,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04,NA,5.68,4.86,6,50.76,NA,NA,NA,NA,NA,NA,NA,NA,19,30,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ID_3,https://doi.org/10.1139/z90-148 ,peer_reviewed,Anomalochrysa_maclachlani,North_America,Mauna_Kea_State_Park_at_Pohakuloa,NA,19.763,-155.438,114.29,in_situ,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,16_08_00,NA,NA,30.3,NA,NA,8.5,NA,11.1,8.5,9.9,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980
15,ID_3,https://doi.org/10.1139/z90-148 ,peer_reviewed,Anomalochrysa_maclachlani,North_America,Mauna_Kea_State_Park_at_Pohakuloa,NA,19.763,-155.438,85.29,in_situ,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,16_08_00,NA,NA,22,NA,NA,6,NA,5.6,6,6.9,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980
16,ID_3,https://doi.org/10.1139/z90-148 ,peer_reviewed,Anomalochrysa_maclachlani,North_America,Mauna_Kea_State_Park_at_Pohakuloa,NA,19.763,-155.438,65.85,in_situ,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,16_08_00,NA,NA,18.5,NA,NA,4.3,NA,4.8,3.7,5.3,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980
17,ID_3,https://doi.org/10.1139/z90-148 ,peer_reviewed,Anomalochrysa_maclachlani,North_America,Mauna_Kea_State_Park_at_Pohakuloa,NA,19.763,-155.438,52.63,in_situ,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.4,16_08_00,NA,NA,19.7,NA,NA,3.3,NA,3.8,3.1,4.1,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980
18,ID_3,https://doi.org/10.1139/z90-148 ,peer_reviewed,Anomalochrysa_maclachlani,North_America,Mauna_Kea_State_Park_at_Pohakuloa,NA,19.763,-155.438,60.71,in_situ,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.4,16_08_00,NA,NA,20.5,NA,NA,3.1,NA,3.1,3,3.8,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980
19,ID_4,NA,regional_journal,Suarius_squamosa,Africa,Lynnfield_park,park,-29.68731,30.47076,109,in_situ,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,8.5,14.7,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,ID_4,NA,regional_journal,Mallada_handschini,Africa,Lynnfield_park,park,-29.68731,30.470761,202,in_situ,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,ID_4,NA,regional_journal,Mallada_baronissa,Africa,Lynnfield_park,park,-29.68731,30.470762,62,in_situ,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,ID_4,NA,regional_journal,Pseudomallada_handschini,South_Africa,Pietermaritzburg,NA,-29.6,30.371,30,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,ID_5,NA,book_chapter,Brinckochrysa_scelestes,North_America,NA,NA,NA,,NA,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.1,2.3,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,ID_5,NA,book_chapter,Chrysoperla_externa,South_America,NA,NA,NA,,NA,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,4.1,3.6,4.3,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,ID_5,NA,book_chapter,Chrysoperla_nipponensis,Asia,NA,NA,NA,,NA,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
